total_publicaciones,id_publicacion,genero,tipo_publicacion,tipo_reaccion,anio,mes,dia
1,92,Masculino,Texto,Desconocido,2024,4,14
1,1,Masculino,Texto,Me gusta,2024,1,11
1,68,Masculino,Texto,Desconocido,2024,3,21
1,37,Femenino,Enlace,Desconocido,2024,2,19
1,83,Femenino,Foto,Desconocido,2024,4,5
1,26,Masculino,Texto,Desconocido,2024,2,8
1,31,Femenino,Foto,Desconocido,2024,2,13
1,40,Masculino,Texto,Desconocido,2024,2,22
1,58,Masculino,Texto,Desconocido,2024,3,11
1,48,Masculino,Texto,Desconocido,2024,3,1
1,100,Masculino,Texto,Desconocido,2024,4,22
1,94,Masculino,Texto,Desconocido,2024,4,16
1,93,Femenino,Enlace,Desconocido,2024,4,15
1,17,No\nbinario,Video,Me\nencanta,2024,1,30
1,104,Masculino,Texto,Desconocido,2024,4,26
1,5,Femenino,Texto,Me divierte,2024,1,11
1,61,Femenino,Enlace,Desconocido,2024,3,14
1,46,Masculino,Texto,Desconocido,2024,2,28
1,20,Masculino,Texto,Me\nencanta,2024,2,2
1,85,Femenino,Enlace,Desconocido,2024,4,7
1,91,Femenino,Foto,Desconocido,2024,4,13
1,41,Femenino,Video,Desconocido,2024,2,23
1,24,Masculino,Texto,Me gusta,2024,2,6
1,81,Femenino,Video,Desconocido,2024,4,3
1,75,Femenino,Foto,Desconocido,2024,3,28
1,25,Femenino,Video,Me\nencanta,2024,2,7
1,34,Masculino,Texto,Desconocido,2024,2,16
1,11,Femenino,Texto,Me gusta,2024,1,24
1,103,Femenino,Foto,Desconocido,2024,4,25
1,97,Femenino,Video,Desconocido,2024,4,19
1,63,Femenino,Foto,Desconocido,2024,3,8
1,57,Femenino,Video,Desconocido,2024,3,10
1,59,Femenino,Foto,Desconocido,2024,3,12
1,36,Masculino,Texto,Desconocido,2024,2,18
1,86,Masculino,Texto,Desconocido,2024,4,8
1,33,Femenino,Video,Desconocido,2024,2,15
1,22,No\nbinario,Texto,Me gusta,2024,2,4
1,101,Femenino,Enlace,Desconocido,2024,4,23
1,10,Masculino,Foto,Me\nencanta,2024,1,12
1,76,Masculino,Texto,Desconocido,2024,3,25
1,27,Femenino,Foto,Desconocido,2024,2,9
1,105,Femenino,Video,Desconocido,2024,4,27
1,90,Masculino,Texto,Desconocido,2024,4,12
1,51,Femenino,Foto,Desconocido,2024,3,4
1,89,Femenino,Video,Desconocido,2024,4,11
1,49,Femenino,Video,Desconocido,2024,3,2
1,78,Masculino,Texto,Desconocido,2024,3,31
1,98,Masculino,Texto,Desconocido,2024,4,20
1,21,Femenino,Enlace,Me asombra,2024,2,3
1,14,Masculino,Texto,Me\nencanta,2024,1,30
1,50,No\nbinario,Texto,Desconocido,2024,3,3
1,65,Femenino,Video,Desconocido,2024,3,8
1,70,Masculino,Texto,Desconocido,2024,3,23
1,96,Masculino,Texto,Desconocido,2024,4,18
1,71,Femenino,Foto,Desconocido,2024,3,24
1,62,Masculino,Texto,Desconocido,2024,3,15
1,15,Femenino,Foto,Me divierte,2024,1,30
1,18,Masculino,Texto,Me entristece,2024,1,31
1,29,Femenino,Enlace,Desconocido,2024,2,11
1,13,Femenino,Texto,Me gusta,2024,1,12
1,23,Femenino,Foto,Me\nencanta,2024,2,5
1,12,Masculino,Video,Me\nencanta,2024,1,12
1,74,Masculino,Texto,Desconocido,2024,3,25
1,72,Masculino,Texto,Desconocido,2024,3,25
1,102,Masculino,Texto,Desconocido,2024,4,24
1,55,Femenino,Foto,Desconocido,2024,3,8
1,67,No\nbinario,Foto,Desconocido,2024,3,20
1,52,No\nbinario,Texto,Desconocido,2024,3,5
1,4,Femenino,Video,Me\nencanta,2024,1,11
1,69,Femenino,Enlace,Desconocido,2024,3,22
1,56,Masculino,Texto,Desconocido,2024,3,9
1,82,Masculino,Texto,Desconocido,2024,4,4
1,39,Femenino,Foto,Desconocido,2024,2,21
1,35,Femenino,Foto,Desconocido,2024,2,17
1,79,Femenino,Foto,Desconocido,2024,4,1
1,42,Masculino,Texto,Desconocido,2024,2,24
1,64,Masculino,Texto,Desconocido,2024,3,17
1,19,Femenino,Foto,Me gusta,2024,2,1
1,16,Masculino,Texto,Me gusta,2024,1,30
1,60,Masculino,Texto,Desconocido,2024,3,13
1,80,Masculino,Texto,Desconocido,2024,4,2
1,6,Masculino,Foto,Me gusta,2024,1,11
1,73,Femenino,Video,Desconocido,2024,3,25
1,54,Masculino,Texto,Desconocido,2024,3,8
1,8,Masculino,Enlace,Me asombra,2024,1,12
1,53,Femenino,Enlace,Desconocido,2024,3,8
1,47,Femenino,Foto,Desconocido,2024,2,29
1,45,Femenino,Enlace,Desconocido,2024,2,27
1,9,Femenino,Texto,Me gusta,2024,1,12
1,32,Masculino,Texto,Desconocido,2024,2,14
1,30,Masculino,Texto,Desconocido,2024,2,12
1,77,Femenino,Enlace,Desconocido,2024,3,30
1,2,Femenino,Foto,Me\nencanta,2024,1,12
1,7,Femenino,Texto,Me entristece,2024,1,20
1,44,Masculino,Texto,Desconocido,2024,2,26
1,84,Masculino,Texto,Desconocido,2024,4,6
1,66,Masculino,Texto,Desconocido,2024,3,19
1,43,Femenino,Foto,Desconocido,2024,2,25
1,38,Masculino,Texto,Desconocido,2024,2,20
1,3,Masculino,Texto,Me gusta,2024,1,11
1,28,No\nbinario,Texto,Desconocido,2024,2,10
1,99,Femenino,Foto,Desconocido,2024,4,21
1,95,Femenino,Foto,Desconocido,2024,4,17
1,88,Masculino,Texto,Desconocido,2024,4,10
1,87,Femenino,Foto,Desconocido,2024,4,9
